j,P_T1,P_T2,P_T3,P_T4,P_T5,T_min,T_max,Tm_T1,Tm_T2,Tm_T3,Tm_T4,Tm_T5,n_min,n_max,W1_start,W1_length,W2_start,W2_length,q_T1,q_T2,q_T3,q_T4,q_T5
led_lighting,2,2,2,2,2,30,240,6,8,8,12,12,1,12,4,2,18,6,3,5,5,8,12
mobile_phone_charging,3,3,3,3,3,5,120,6,8,8,8,8,1,12,0,1,6,18,2,3,3,5,5
radio,0,3,3,3,3,5,240,0,8,8,12,12,1,10,7,13,0,0,0,2,2,2,2
fan,0,15,20,35,35,5,600,0,8,8,12,16,1,10,7,12,0,0,0,1,2,4,4
tv,0,12,18,29,29,5,240,0,8,8,12,12,1,10,7,7,17,6,0,1,1,2,2
fridge,0,0,54,54,54,5,30,0,0,3,8,24,5,15,5,19,0,0,0,0,1,1,1
tablet,0,0,18,18,18,5,120,0,0,6,12,12,1,10,0,1,6,18,0,0,1,1,1
kettle,0,0,0,400,400,5,15,0,0,0,1,1,1,8,7,14,0,0,0,0,0,1,1
laptop,0,0,0,60,60,5,240,0,0,0,6,6,1,10,0,1,6,18,0,0,0,1,1
rice_cooker,0,0,0,200,200,30,30,0,0,0,1.5,1.5,1,3,10,2,17,3,0,0,0,1,1
clothes_iron,0,0,0,150,150,5,20,0,0,0,2,2,1,2,6,16,0,0,0,0,0,1,1
washing_machine,0,0,0,70,70,15,120,0,0,0,2,2,0,1,6,14,0,0,0,0,0,1,1
air_cooler,0,0,0,500,500,30,120,0,0,0,4,12,0,8,9,9,0,0,0,0,0,1,1
power_tools,0,0,0,0,100,5,60,0,0,0,0,10,2,10,6,14,0,0,0,0,0,0,1
grinders_millers,0,0,0,0,750,10,120,0,0,0,0,10,2,10,6,14,0,0,0,0,0,0,1
sewing_machine,0,0,0,0,40,5,120,0,0,0,0,10,3,20,6,14,0,0,0,0,0,0,1
water_pump,0,0,0,0,750,5,30,0,0,0,0,4,0,2,5,12,0,0,0,0,0,0,1
